,lambda_all,alpha_all,weight_1_all,alpha_1_all,alpha_2_all,alpha_me_all,rmse_all,lambda_monthly,alpha_monthly,weight_1_monthly,alpha_1_monthly,alpha_2_monthly,alpha_me_monthly,rmse_monthly,lambda_seasonal,alpha_seasonal,weight_1_seasonal,alpha_1_seasonal,alpha_2_seasonal,alpha_me_seasonal,rmse_seasonal
08031000,0.20010456149522937,21.657022,0.9568043381900322,22.531679364895165,0.5333406823492073,21.581446566782777,11.074278700201345,"[0.34090909 0.3684634  0.28665689 0.25833333 0.28005865 0.38484848
 0.38856305 0.36217009 0.34090909 0.26246334 0.29090909 0.33333333]","[12.79719257 10.24590206 11.39944935 13.48573399 16.5793972  15.13403988
 10.8374176  12.62312126 13.87336063 18.21708298 13.96144581 13.8066082 ]","[0.7        0.7        0.70000001 0.7        0.72580446 0.7
 0.7        0.7        0.70000028 0.7        0.7        0.7       ]","[15.83856429 11.75330515 12.02985931 15.28464238 18.94510659 16.08358897
 11.96909884 13.74936736 16.27239118 20.5112191  15.42131623 15.8525793 ]","[10.23775406  8.19672165  9.11955948 10.78858719 13.26351776 12.1072319
  8.66993408 10.09849701 11.09868851 14.57366638 11.16915665 11.04528656]","[11.91799713  9.2636967   9.9926494  12.13740375 14.82138407 13.30013902
  9.65968351 11.19375811 12.65079787 16.3549322  12.44480452 12.48747438]","[ 2.1454235   2.96231827  6.02790627  3.4661867   3.41053219  3.29282829
  1.12317198 13.13778222  9.49808549  9.54795929  4.6047032   5.43366891]",[0.33089902 0.30744256 0.36413043 0.29551647],[11.49201107 15.12596035 12.36273098 15.1799593 ],[0.7        0.7        0.70019525 0.7       ],[12.98753868 16.98193321 14.09320443 17.39811907],[ 9.19360886 12.10076828  9.89018478 12.14396744],[10.3317878  13.56511776 11.15027003 13.72021293],[3.26204288 2.90569002 8.81978309 6.38686682]
08029500,0.19098636444129627,22.481781,0.971055490605733,22.976168055046383,0.23391685041457583,22.317904751407138,6.271984735385272,"[0.3313783  0.35880933 0.30131965 0.27575758 0.29252199 0.34545455
 0.3255132  0.29985337 0.27272727 0.25439883 0.2780303  0.33037694]","[13.93715954 12.15280914 13.54994011 14.68154144 15.49686432 13.81011868
 10.46567631 11.70445633 14.02047157 17.104702   15.63070679 14.8686676 ]","[0.70538904 0.7        0.7        0.72106363 0.7476749  0.7949387
 0.73804405 0.7        0.7        0.7        0.7        0.7       ]","[15.58651511 14.61223473 16.86089419 16.92031887 16.46620761 14.60632654
 10.46567631 13.55450227 17.04012636 18.95910676 17.45702356 17.28914838]","[11.14972763  9.72224731 10.83995209 11.74523315 12.39749146 11.04809494
 10.46567631  9.36356506 11.21637726 13.6837616  12.50456543 11.89493408]","[12.45685383 11.18924354 12.64623472 13.18875276 13.42413068 11.77775052
 10.46567631 10.62084623 12.96350199 15.26636515 13.99030287 13.51319837]","[2.21518632 4.12018239 9.51999951 2.52445776 2.62885231 2.11298059
 1.54253734 6.67598529 7.08444261 6.79495763 4.29508904 4.57684802]",[0.32963989 0.30444555 0.29965415 0.28758979],[13.20761871 14.62243176 11.93837738 15.7778616 ],[0.7        0.8012001  0.71577129 0.7       ],[14.97571429 15.53919653 13.63957573 17.66730556],[10.56609497 11.6979454   9.5507019  12.62228928],[11.88898077 12.46158573 10.71287725 14.13579416],[5.63675625 2.08310602 5.39011871 4.82318901]
08025500,0.18138348740835192,22.29769,0.9788453132381949,22.938642611117608,0.4178904947136152,22.462223154454822,6.19101917970036,"[0.32771261 0.34432824 0.29032258 0.26515152 0.28445748 0.31666667
 0.30865103 0.27272727 0.23333333 0.23460411 0.28106061 0.32446415]","[13.93151188 13.07800961 15.24615955 15.99405098 15.19902515 12.41641712
 10.04974461 11.17233658 12.88967705 17.42826462 15.34953785 14.86350727]","[0.7        0.7        0.7        0.72422692 0.71996169 0.7
 0.99       0.76618347 0.7        0.7        0.73315251 0.7       ]","[15.78989402 13.94594576 18.05641863 17.09317265 16.23510758 13.55403537
 10.04974461 11.81766587 14.27338317 18.54902023 16.77181577 16.60642693]","[11.1452095  10.46240768 12.19692764 12.79524078 12.15922012  9.9331337
 10.04974461  9.30751058 10.31174164 13.94261169 12.27963651 11.89081271]","[12.53861486 11.50746911 13.95477494 13.9804947  13.30062475 11.0194042
 10.04974461  9.89442638 11.5002341  15.32453426 13.47836328 13.30549697]","[2.72710139 4.02779713 8.86058008 2.39734934 2.42797263 2.3092351
 0.74572377 6.1462966  2.24120184 7.28889293 3.26560967 2.40218145]",[0.32007051 0.28871129 0.27198617 0.27991082],[14.0537014  14.43356705 11.2234993  15.74938297],[0.73865153 0.7        0.7        0.7       ],[14.8751897  15.22517294 12.35685105 17.47725334],[11.24296112 11.54685364  8.97879944 12.59950638],[12.19223852 12.65034943  9.99221492 14.06283047],[5.67855716 2.11119923 3.11879302 3.83940281]
08041300,0.21753424657534245,16.663452,0.9323676715173658,17.83746014630195,0.4200724335698302,16.659481659205053,2.16811072952364,"[0.35337243 0.38374899 0.32697947 0.28636364 0.32331378 0.38636364
 0.34677419 0.31818182 0.3219697  0.28372434 0.3030303  0.35328899]","[11.54617023  9.78569698 10.62134838 12.12917995 14.85785675 12.89287567
  8.845294   10.92359161 11.15943909 15.50119877 13.896595   12.353549  ]","[0.72841284 0.7        0.7        0.7        0.72921532 0.89671226
 0.7        0.7        0.7        0.7        0.71516074 0.7       ]","[13.22227142 11.3080891  12.61657516 13.34797227 15.8825     13.28025941
  9.68315706 12.55404468 12.11338594 17.63739367 15.83249516 14.59755604]","[ 9.23693619  7.82855759  8.4970787   9.70334396 11.8862854  10.31430054
  7.0762352   8.87254216  8.92755127 12.40095901 11.117276    9.8828392 ]","[10.31930207  8.87241704  9.73292764 10.79673245 12.96839909 10.62064772
  7.85831176  9.97699291  9.88330167 13.97188941 12.46035552 11.29725425]","[3.22422638 2.75402706 6.91629729 3.59572546 2.7383981  2.54012991
 1.4663351  9.36900759 6.56966904 8.3662292  4.90442159 3.42910381]",[0.35381516 0.33191808 0.32905138 0.3133515 ],[10.65491295 13.32769871 10.26082897 13.80442619],[0.7 0.7 0.7 0.7],[12.2881792  13.89227605 11.53251865 15.63621074],[ 8.52393036 10.66215897  8.20866318 11.04354095],[ 9.65320501 11.63119409  9.20581982 12.42134189],[4.23700858 2.93259311 6.22787709 5.55601702]
08011000,0.17222222222222222,20.819208,0.9410645830433477,22.03401322392884,0.20819208145141602,20.747699354475618,10.161465973340857,"[0.36803519 0.35156879 0.28592375 0.26893939 0.30938416 0.43787879
 0.48607038 0.41935484 0.34090909 0.25073314 0.3        0.33555063]","[14.12010193 11.73335934 12.61592674 15.75114727 16.05802155 12.26481533
  9.45493412 10.43949795 12.53187752 16.72705841 13.62425995 12.94496155]","[0.74527693 0.72470433 0.7        0.7        0.7        0.72105166
 0.7        0.71806981 0.7        0.74059638 0.7        0.7       ]","[15.83970938 13.08370445 14.43532437 17.60157957 18.34423346 13.12346725
 10.269553   11.67530123 15.09418611 18.74459906 15.43221876 14.6907667 ]","[11.29608154  9.38668747 10.09274139 12.60091782 12.84641724  9.88570076
  7.5639473   8.35159836 10.02550201 13.38164673 10.89940796 10.35596924]","[12.45344835 10.40446023 11.39551629 14.10111634 14.4957621  10.78887034
  8.37562901  9.28865053 11.54610724 14.77281598 12.2592512  11.65640848]","[5.28150206 2.15425088 2.98417883 3.81475108 5.75966497 3.82955352
 2.45495218 9.64276635 5.31016601 4.31730656 2.56745826 3.36462461]",[0.3346764  0.33841159 0.41625494 0.29526876],[12.89389038 14.35956097 10.61089611 14.25576782],[0.72602483 0.76203735 0.7        0.7       ],[13.9244225  14.97387429 11.89758163 16.08760437],[10.77180053 11.48764877  8.48871689 11.40461426],[11.63554068 12.31724022  9.51137631 12.80951129],[3.83737602 4.73657206 6.23841404 3.10312418]
08010000,0.19878771180603388,22.551893,0.9626904785428043,23.345454202558486,0.23722325181583567,22.48329716406392,6.969037240178147,"[0.3526393  0.34915527 0.29252199 0.26363636 0.30498534 0.41818182
 0.41935484 0.36876833 0.3030303  0.23973607 0.28787879 0.33555063]","[14.96934891 12.60781384 13.39668751 15.80839729 15.59269333 11.54717445
  9.6088419  10.60664845 13.74131393 17.03889465 14.77520466 13.95331383]","[0.70000022 0.70000105 0.7        0.73292822 0.71022755 0.7511552
 0.7        0.7        0.70000159 0.72840276 0.75201633 0.72517093]","[17.63605268 14.00705113 14.21687571 16.86331678 16.85039145 12.17960443
 10.52843134 11.99039869 15.82265048 17.86510628 16.02856031 14.89659349]","[11.97547913 10.0863046  10.71735001 12.64671783 12.57202071  9.32338291
  7.68707352  8.48531876 10.99305115 13.76099588 11.82016373 11.16265106]","[13.67364992 11.26252443 11.76720772 13.77285242 13.81177469 10.03413879
  8.53948086  9.53684274 12.44192325 14.87566095 12.86377737 12.18884697]","[4.28450614 1.65004629 2.1861173  4.4111446  4.15713178 2.59220383
 4.0322406  7.16285406 6.96008313 4.49453353 1.09944472 2.47456932]",[0.33089902 0.32867133 0.36437747 0.28758979],[13.71181583 13.95282936 11.06978035 15.0913868 ],[0.7       0.7       0.7085283 0.7      ],[15.81558804 15.14851611 12.36977464 16.69339764],[11.29552391 11.16226349  8.85582428 12.07310944],[12.65154315 12.35813928  9.88004138 13.4591959 ],[2.55613377 3.49595519 5.99655313 2.07511266]
07376000,0.21656310481817256,21.911198,0.9541271877349538,22.712855312325704,0.26860144266079833,21.683274268133527,5.376483673625168,"[0.39296188 0.40225261 0.36217009 0.3219697  0.3526393  0.50757576
 0.5755132  0.51759531 0.35606061 0.27272727 0.31969697 0.38137472]","[13.39407921 13.64217281 13.64502907 15.25806046 13.08977699 10.49101067
  8.91608524 10.28379822 10.73109818 13.76305199 12.29335499 12.9420948 ]","[0.7        0.7        0.70237353 0.7        0.7        0.7
 0.99       0.7        0.72788492 0.73694949 0.7        0.7       ]","[15.40578666 14.89168634 15.69867492 17.39119151 14.57239116 11.34530473
  8.91608524 11.88337544 11.98525844 15.2733183  14.14021743 14.03041753]","[10.71526337 10.91373825 10.91602325 12.20644836 10.47182159  8.39280853
  8.91608524  8.22703857  8.58487854 11.01044159  9.83468399 10.35367584]","[12.12242035 12.10712268 12.339467   13.76187131 11.70199246  9.27855739
  8.91608524  9.32393964  9.5101732  12.13179347 11.12634402 11.45669835]","[2.65368647 1.90251257 3.40608191 5.21170188 1.70729569 2.8920449
 0.65392404 7.49191255 5.28371771 6.26913638 1.48764877 3.45471592]",[0.38529338 0.39360639 0.48443676 0.32449839],[13.55618191 12.56969261  9.84350014 12.96623802],[0.7        0.7        0.70000348 0.7       ],[15.17939512 14.5454888  11.07462154 13.86832175],[10.84494553 10.05575409  7.874819   10.37299042],[12.1452804  11.4026745   8.83474863 11.42158982],[2.16266818 2.97495998 4.83876439 3.92502204]
07376500,0.1964021164021164,23.521435,0.9496331520613501,24.4019431229926,0.4583868713678884,23.19598166615651,7.412038649450388,"[0.35923754 0.35559131 0.30865103 0.27954545 0.30645161 0.4530303
 0.50293255 0.44428152 0.30378788 0.23020528 0.28106061 0.34441981]","[13.38639069 14.48646259 14.96903324 17.34408569 15.10601616 12.41441059
 10.61809921 12.17456341 12.98010921 15.77330112 13.47064495 14.04406452]","[0.7        0.72765246 0.7        0.74359958 0.74141291 0.7
 0.7        0.7        0.72660012 0.7318577  0.75015359 0.7       ]","[14.45306272 15.45816676 16.30472758 20.29582462 17.12391321 13.22407834
 10.61809921 13.97877967 14.77572633 16.90130151 14.91405842 15.59500352]","[10.70911255 11.58917007 11.97522659 13.87526855 12.08481293  9.93152847
 10.61809921  9.76982299 10.38408737 12.64428516 10.77651596 11.29465058]","[11.8322976  12.64288181 13.27407689 15.52150183 13.38785919 10.91929343
 10.61809921 11.03251    11.58476092 13.78577131 11.8102661  12.58475646]","[3.39772104 1.54945132 6.47883074 4.97456745 2.41425519 2.690021
 1.33347941 9.16489198 4.88773627 5.78793116 1.33425157 3.20364734]",[0.34072022 0.3459041  0.41823123 0.28511271],[14.23821735 14.54014587 11.73468781 14.33098125],[0.7        0.7        0.72422188 0.83075999],[16.02334526 16.28569829 12.99652838 15.26364264],[11.39057388 11.6321167   9.38775024 11.464785  ],[12.7804053  13.02819118 10.38297228 12.10770369],[3.41894916 3.26952257 5.54899829 3.24984942]
07375960,0.2263013698630137,22.297806,0.9598382977838413,23.20597351735152,0.32437548166421204,22.287009590812403,6.2226244028399,"[0.38416422 0.39501207 0.3526393  0.30909091 0.34090909 0.48106061
 0.54252199 0.48240469 0.33333333 0.25806452 0.31136364 0.36807095]","[13.89536285 14.02741814 14.16876888 15.9399271  13.4868784  10.91742706
  9.37749577 10.89480114 11.39513302 14.57446384 12.69057655 13.42195892]","[0.7        0.7        0.7        0.7        0.7        0.7
 0.89131181 0.7        0.72768539 0.7367726  0.72861836 0.7       ]","[14.94395971 15.62995505 16.32195937 18.05207182 14.75485352 11.75484434
  9.37749577 12.83978969 12.3938299  16.71444425 13.50385525 14.58276084]","[11.11629028 11.22193451 11.33501511 12.75194168 10.78950272  8.73394165
  9.37749577  8.71584091  9.11610641 11.65957108 10.15246124 10.73756714]","[12.26459111 12.54434067 12.83109838 14.34198072 11.97910796  9.64021246
  9.37749577  9.95302555 10.0086784  12.99015219 11.06196805 11.89112525]","[3.05610646 1.79394212 2.91427867 5.01297767 1.48848122 2.82101794
 0.77535175 6.86090167 5.25768148 5.8277343  1.82650183 3.30580822]",[0.3767313  0.37662338 0.45405138 0.31236066],[14.02661037 13.06860256 10.40369129 13.50529385],[0.71236453 0.7        0.7        0.7       ],[15.21864805 14.9372736  11.58118902 15.03903046],[11.2212883  10.45488205  8.32295303 10.80423508],[12.37107073 11.79959951  9.30042383 12.07467369],[2.11830444 2.82270844 4.54036457 3.41585973]
07375800,0.20277129921799972,24.198563,0.990244048438715,24.198562622070312,0.2631855923596019,23.96505024316736,4.558968108558649,"[0.34457478 0.34674175 0.30351906 0.26363636 0.29252199 0.39242424
 0.45307918 0.39222874 0.27651515 0.21994135 0.26818182 0.32889874]","[15.98039913 16.35938454 17.2277298  18.58290482 15.45241356 13.0451088
 11.4032259  13.11292171 13.46940804 17.08037186 14.87947273 15.03732109]","[0.7        0.8526855  0.7        0.72253576 0.99       0.99
 0.99       0.8033247  0.7        0.70459858 0.7        0.76084731]","[17.56855172 16.9306159  18.87254911 21.17216917 15.45241356 13.0451088
 11.4032259  13.98933151 14.2398947  18.57296538 16.37927931 15.77201474]","[12.78431931 13.08750763 13.78218384 14.86632385 15.45241356 13.0451088
 11.4032259  10.49033737 10.77552643 13.66429749 11.90357819 12.02985687]","[14.21958903 13.65365322 15.30929342 16.61597045 15.45241356 13.0451088
 11.4032259  11.17850308 11.81483691 15.11432497 13.24628852 12.92480401]","[2.09559046 0.9894505  2.54896095 3.36001028 1.10240341 2.989422
 1.82952988 5.94714488 4.32547673 7.42871814 0.61684468 3.15302773]",[0.33115084 0.31593407 0.375      0.27223186],[16.49730873 15.32785034 12.50259686 15.54418087],[0.7        0.99       0.70225316 0.80411009],[18.31573003 15.32785034 13.58396269 16.84530483],[13.19784698 15.32785034 10.00207748 12.4353447 ],[14.7332119  15.32785034 11.06857248 13.29921139],[0.99142647 2.23850249 3.52513505 3.80134973]
07378000,0.2126220886551465,20.804773,0.939242010666505,22.027922713897162,0.34982420975448486,20.710805036212008,5.295350160038223,"[0.37463343 0.37972647 0.32697947 0.30606061 0.34897361 0.49924242
 0.56158358 0.50806452 0.3530303  0.26686217 0.30984848 0.36437546]","[14.36123657 13.82589149 13.90170097 15.62632942 13.63407803 10.4685154
  8.3996191   9.81114864 10.50183773 14.95106316 12.54731941 13.68969154]","[0.7096625  0.7        0.7        0.7        0.7        0.7
 0.76010954 0.7        0.7        0.7        0.70000078 0.7000052 ]","[16.69911229 15.36140185 15.43870575 17.9963644  14.7658855  11.68244711
  9.03005918 11.27646742 12.86598452 17.03931162 14.27582036 14.78380415]","[11.48898926 11.0607132  11.12136078 12.50106354 10.90726242  8.37481232
  6.71969528  7.84891891  8.40147018 11.96085052 10.03786096 10.95179251]","[13.00168336 12.35091979 12.41656427 14.1496538  12.06484935  9.36710275
  7.27392953  8.87718347  9.74082449 13.48438885 11.30924546 12.10137608]","[2.92028854 2.755293   3.04185861 5.77960066 4.00516851 4.07681589
 0.87369404 9.88863053 6.22746654 8.1644546  2.23897219 4.99218683]",[0.35985898 0.38436563 0.47554348 0.31359921],[14.04098797 12.80156517  9.4166708  13.68330097],[0.7 0.7 0.7 0.7],[15.65202263 14.27208519 10.71324898 15.34245624],[11.23279037 10.24125214  7.53333664 10.94664078],[12.55856005 11.45050205  8.48731034 12.26538542],[2.69533754 4.48153254 6.49942443 4.997858  ]
07377240,0.19397260273972602,23.346657,0.9829676147596078,23.346656799316406,0.2363377323556013,22.953032941939547,7.874288776117233,"[0.33284457 0.32904264 0.271261   0.26212121 0.28225806 0.40681818
 0.4457478  0.38196481 0.27727273 0.21627566 0.26666667 0.31929047]","[15.60745621 15.20350742 15.7137537  18.32107544 17.2124176  13.58651733
 10.84727859 14.02362156 13.66024399 18.52941704 14.62406921 15.43106079]","[0.7        0.7288955  0.71995317 0.79546546 0.70044149 0.72983998
 0.98279265 0.73630625 0.77874064 0.7        0.7        0.7       ]","[17.63016741 16.83755615 16.82120865 19.36479023 18.41424463 14.51140378
 10.84727859 14.99499034 13.66024399 21.25974148 16.51050803 16.9172351 ]","[12.48596497 12.16280594 13.16535627 14.65686035 13.76993408 10.86921387
 10.84727859 11.21889725 10.92819519 14.82353363 11.69925537 12.34484863]","[14.0292257  13.43015176 14.18916614 15.61979463 15.16117683 11.85318796
 10.84727859 12.21462941 11.53268655 16.75439598 13.14263117 13.71656457]","[ 4.09186013  1.84858839  3.22127441  6.8253089   3.35040645  3.78425154
  2.55225816 12.29838404  6.9979188   7.66376061  2.34309915  5.17211504]",[0.31050113 0.31668332 0.36931818 0.26727768],[15.5053587  15.97936153 12.64287758 16.01489449],[0.7        0.74901823 0.7        0.732992  ],[17.23845681 18.28168289 14.03250273 18.16757336],[12.40428696 12.78348923 10.11430206 13.12940653],[13.85453791 14.16343559 11.28976226 14.4746374 ],[2.5766848  3.66783649 7.67331288 4.82441138]
07377782,0.18435754189944134,22.362484,0.9745676982787805,23.03650893760057,0.2314183514700357,22.456522993034355,10.1012952802769,"[0.3372434  0.33547868 0.28739003 0.26742424 0.29398827 0.41893939
 0.45527859 0.40249267 0.27954545 0.23240469 0.2780303  0.32002956]","[15.79493904 15.15620708 14.97450256 17.79383469 16.48564529 12.37369823
  9.77991009 12.22645378 13.64326763 17.30350113 13.69228554 15.50861359]","[0.7        0.71038208 0.70177352 0.70859104 0.70221934 0.77864845
 0.7        0.7        0.7        0.73086215 0.7        0.74782673]","[17.35596572 17.08639445 16.00209706 19.60588424 18.51823756 13.20933695
  9.77991009 13.75970525 15.49005632 19.69093034 15.67933679 17.49589255]","[12.63595123 12.12496567 11.97960205 14.23506775 13.18851624  9.89895859
  9.77991009  9.78116302 10.91461411 13.8428009  10.95382843 12.40689087]","[14.05195558 13.56188438 13.17921658 15.80017179 14.77560418 10.63171598
  9.77991009 10.97472569 12.28724677 15.41675391 12.37148094 13.69020104]","[3.19040875 1.9129033  2.29180919 5.11217229 2.9747038  4.74181717
 1.25065666 9.62216228 5.93733052 7.6233483  1.31650054 4.23036734]",[0.31956686 0.32642358 0.38018775 0.27669061],[15.33161068 15.09917641 11.5789566  15.42122459],[0.7001799  0.7        0.7        0.70015723],[16.58825582 16.2045447  13.01080188 17.55226013],[12.26528854 12.07934113  9.26316528 12.33697968],[13.56140104 13.3169022  10.38745626 13.90074382],[2.30087116 4.2444157  6.26608036 4.38686034]
07377500,0.19035202086049544,23.551226,0.980217309709488,23.551225662231445,0.3884110283350145,23.093002874072532,11.091759519918874,"[0.34017595 0.34030571 0.29985337 0.26742424 0.30205279 0.41136364
 0.4670088  0.40395894 0.28030303 0.23313783 0.27954545 0.32963784]","[16.10567474 16.10788345 16.22664452 17.94905853 15.38620663 12.34871006
 10.31809902 11.92445087 12.77143669 16.99390602 14.08301926 15.30318737]","[0.7        0.78819234 0.7        0.70183394 0.74309881 0.77367857
 0.99       0.7        0.7        0.7        0.7        0.7       ]","[17.62662461 16.78570237 17.5342541  20.48664245 17.39888939 12.8905619
 10.31835525 12.95592517 14.50329897 18.31905895 16.25605082 16.10460566]","[12.88453979 12.88630676 12.98131561 14.35924683 12.3089653   9.87896805
 10.31809902  9.5395607  10.21714935 13.59512482 11.26641541 12.2425499 ]","[14.30716524 13.71222862 14.34719716 16.18622826 13.61657283 10.56055628
 10.31810158 10.56447004 11.50299424 15.01230506 12.76330603 13.40116662]","[ 1.96309189  2.0080492   2.60212555  4.64631112  1.5973071   3.23106736
  1.12765167 10.23601946  5.97400401  8.28249476  1.89683253  3.94958788]",[0.32636615 0.32667333 0.38488142 0.28065395],[16.1445713  14.81688404 11.46882725 15.38033485],[0.7        0.7        0.81768515 0.7120005 ],[17.61545538 16.37868352 11.95147176 17.67741324],[12.91565704 11.85350723  9.1750618  12.30426788],[14.32559655 13.21106012  9.68124257 13.85173108],[1.54364219 3.05861178 6.50385735 4.05586012]
07375000,0.19465740297077144,23.834406,0.9701528716960253,23.83440589904785,0.3701531943554589,23.13406533801401,7.338116207965088,"[0.33504399 0.35961384 0.3042522  0.26515152 0.29692082 0.45
 0.50219941 0.43108504 0.3030303  0.21554252 0.27727273 0.32815965]","[14.31724644 15.18280315 16.4680481  18.03189659 15.85000324 12.20714664
 10.7529459  12.96913242 12.6802578  16.53654289 13.99541378 14.40102196]","[0.7        0.75650055 0.75278654 0.7        0.70531692 0.72946454
 0.90203362 0.7        0.7        0.7        0.7        0.73529647]","[15.85883127 16.43962716 17.7075786  19.09821644 17.21990304 13.38397327
 10.75401649 13.98547787 13.11647657 18.58874833 15.25548517 15.39458698]","[11.52249841 12.14641472 13.17443848 14.42551727 12.68000259  9.76571732
 10.7529459  10.37530594 10.14420624 13.22925409 11.19633102 11.52081757]","[12.82339827 13.19180959 14.29509173 15.82732702 14.01783443 10.74458384
 10.75305078 11.45835752 11.03588734 14.83710237 12.41407727 12.54621802]","[2.65956913 1.58106464 9.38666332 4.2856807  2.99384575 2.13647193
 1.18603448 9.34164181 5.40095482 4.01212092 1.34509787 3.44732516]",[0.33215815 0.33691309 0.41329051 0.2734704 ],[15.28728962 14.81205368 11.99265957 14.83525181],[0.7        0.76291039 0.7        0.7       ],[17.18710365 15.49494679 12.78653915 15.75347996],[12.22988701 11.95718929  9.59412766 11.86820145],[13.717052   12.79595483 10.5518511  13.033785  ],[4.99439041 3.18609247 5.66274351 2.86765931]
